0	0	0	0	14	0	0	0	0	0	0	0	181
0	0	0	1	12	0	0	0	1	0	1	0	183
0	0	0	2	10	0	0	0	2	0	2	0	185
0	0	0	3	8	0	0	0	3	0	3	0	187
0	0	0	4	6	0	0	0	4	0	4	0	189
0	0	0	5	4	0	0	0	5	0	5	1	418
0	0	0	6	2	0	0	0	6	0	6	1	416
0	0	0	7	0	0	0	0	7	0	7	1	414
0	0	0	8	30	0	0	0	8	1	0	1	412
0	0	0	9	28	0	0	0	9	1	1	1	410
0	0	0	10	26	0	0	0	10	1	2	2	822
0	0	0	11	24	0	0	0	11	1	3	2	820
0	0	0	12	22	0	0	0	12	1	4	2	818
0	0	0	13	20	0	0	0	13	1	5	2	816
0	0	0	14	18	0	0	0	14	1	6	2	814
0	0	0	15	16	0	0	0	15	1	7	2	812
0	0	0	16	46	0	0	1	0	0	0	0	191
0	0	0	17	44	0	0	1	1	0	1	0	193
0	0	0	18	42	0	0	1	2	0	2	0	195
0	0	0	19	40	0	0	1	3	0	3	0	197
0	0	0	20	38	0	0	1	4	0	4	0	199
0	0	0	21	36	0	0	1	5	0	5	1	408
0	0	0	22	34	0	0	1	6	0	6	1	406
0	0	0	23	32	0	0	1	7	0	7	1	404
0	0	0	24	62	0	0	1	8	1	0	1	402
0	0	0	25	60	0	0	1	9	1	1	1	400
0	0	0	26	58	0	0	1	10	1	2	2	810
0	0	0	27	56	0	0	1	11	1	3	2	808
0	0	0	28	54	0	0	1	12	1	4	2	806
0	0	0	29	52	0	0	1	13	1	5	2	804
0	0	0	30	50	0	0	1	14	1	6	2	802
0	0	0	31	48	0	0	1	15	1	7	2	800
0	0	0	32	15	0	0	2	0	0	0	2	813
0	0	0	33	13	0	0	2	1	0	1	2	815
0	0	0	34	11	0	0	2	2	0	2	2	817
0	0	0	35	9	0	0	2	3	0	3	2	819
0	0	0	36	7	0	0	2	4	0	4	2	821
0	0	0	37	5	0	0	2	5	0	5	2	823
0	0	0	38	3	0	0	2	6	0	6	1	411
0	0	0	39	1	0	0	2	7	0	7	1	413
